threshold,accuracy,precision,recall,roc_auc,positive_rate,tp,tn,fp,fn,f1,f2,predicted_positive_rate
0.01,0.05821665438467207,0.009302325581395349,1.0,0.9257899628252788,0.008843036109064112,24,134,2556,0,0.018433179723502304,0.044843049327354265,0.9506263817243921
0.02,0.15106853352984526,0.010309278350515464,1.0,0.9257899628252788,0.008843036109064112,24,386,2304,0,0.020408163265306124,0.0495049504950495,0.8577745025792188
0.03,0.23839351510685336,0.011477761836441894,1.0,0.9257899628252788,0.008843036109064112,24,623,2067,0,0.02269503546099291,0.05486968449931413,0.7704495210022108
0.04,0.3286661753868828,0.013001083423618635,1.0,0.9257899628252788,0.008843036109064112,24,868,1822,0,0.02566844919786096,0.061791967044284246,0.6801768607221813
0.05,0.4019896831245394,0.014571948998178506,1.0,0.9257899628252788,0.008843036109064112,24,1067,1623,0,0.028725314183123875,0.06884681583476765,0.6068533529845247
0.060000000000000005,0.45689019896831246,0.01602136181575434,1.0,0.9257899628252788,0.008843036109064112,24,1216,1474,0,0.03153745072273325,0.07528230865746549,0.5519528371407516
0.06999999999999999,0.5099484156226971,0.01772525849335303,1.0,0.9257899628252788,0.008843036109064112,24,1360,1330,0,0.03483309143686503,0.08275862068965517,0.498894620486367
0.08,0.5504789977892409,0.01929260450160772,1.0,0.9257899628252788,0.008843036109064112,24,1470,1220,0,0.03785488958990536,0.08955223880597014,0.45836403831982314
0.09,0.5895357406042742,0.0210896309314587,1.0,0.9257899628252788,0.008843036109064112,24,1576,1114,0,0.04130808950086058,0.0972447325769854,0.41930729550478996
0.09999999999999999,0.6260132645541636,0.023099133782483156,1.0,0.9257899628252788,0.008843036109064112,24,1675,1015,0,0.045155221072436504,0.10572687224669602,0.3828297715549005
0.11,0.6551215917464996,0.025,1.0,0.9257899628252788,0.008843036109064112,24,1754,936,0,0.04878048780487806,0.11363636363636363,0.3537214443625645
0.12,0.6798084008843036,0.026875699888017916,1.0,0.9257899628252788,0.008843036109064112,24,1821,869,0,0.052344601962922566,0.12133468149646108,0.3290346352247605
0.13,0.7037582903463523,0.028985507246376812,1.0,0.9257899628252788,0.008843036109064112,24,1886,804,0,0.05633802816901409,0.12987012987012986,0.3050847457627119
0.14,0.7240235814296242,0.031047865459249677,1.0,0.9257899628252788,0.008843036109064112,24,1941,749,0,0.0602258469259724,0.1380897583429229,0.2848194546794399
0.15000000000000002,0.7394988946204863,0.03283173734610123,1.0,0.9257899628252788,0.008843036109064112,24,1983,707,0,0.06357615894039734,0.14510278113663844,0.26934414148857777
0.16,0.7535003684598379,0.03463203463203463,1.0,0.9257899628252788,0.008843036109064112,24,2021,669,0,0.06694560669456068,0.1520912547528517,0.25534266764922625
0.17,0.765659543109801,0.03636363636363636,1.0,0.9257899628252788,0.008843036109064112,24,2054,636,0,0.07017543859649122,0.15873015873015872,0.2431834929992631
0.18000000000000002,0.7745025792188651,0.03773584905660377,1.0,0.9257899628252788,0.008843036109064112,24,2078,612,0,0.07272727272727272,0.16393442622950818,0.23434045689019897
0.19,0.7811348563006633,0.038834951456310676,1.0,0.9257899628252788,0.008843036109064112,24,2096,594,0,0.07476635514018691,0.1680672268907563,0.22770817980840088
0.2,0.7885040530582167,0.04013377926421405,1.0,0.9257899628252788,0.008843036109064112,24,2116,574,0,0.07717041800643087,0.1729106628242075,0.22033898305084745
0.21000000000000002,0.7966101694915254,0.041666666666666664,1.0,0.9257899628252788,0.008843036109064112,24,2138,552,0,0.07999999999999999,0.17857142857142855,0.21223286661753868
0.22,0.8017686072218129,0.042704626334519574,1.0,0.9257899628252788,0.008843036109064112,24,2152,538,0,0.08191126279863481,0.18237082066869303,0.20707442888725128
0.23,0.8080324244657332,0.044036697247706424,1.0,0.9257899628252788,0.008843036109064112,24,2169,521,0,0.0843585237258348,0.187207488299532,0.2008106116433309
0.24000000000000002,0.812822402358143,0.045112781954887216,1.0,0.9257899628252788,0.008843036109064112,24,2182,508,0,0.08633093525179857,0.19108280254777069,0.19602063375092116
0.25,0.8212969786293294,0.047151277013752456,1.0,0.9257899628252788,0.008843036109064112,24,2205,485,0,0.09005628517823638,0.19834710743801656,0.1875460574797347
0.26,0.8249815770081061,0.04809619238476954,1.0,0.9257899628252788,0.008843036109064112,24,2215,475,0,0.09177820267686423,0.20168067226890757,0.183861459100958
0.27,0.8301400147383935,0.049484536082474224,1.0,0.9257899628252788,0.008843036109064112,24,2229,461,0,0.0943025540275049,0.20654044750430292,0.1787030213706706
0.28,0.8338246131171703,0.05052631578947368,1.0,0.9257899628252788,0.008843036109064112,24,2239,451,0,0.09619238476953906,0.21015761821366025,0.17501842299189388
0.29000000000000004,0.8345615327929256,0.0507399577167019,1.0,0.9257899628252788,0.008843036109064112,24,2241,449,0,0.09657947686116701,0.21089630931458697,0.17428150331613854
0.3,0.8382461311717023,0.05183585313174946,1.0,0.9257899628252788,0.008843036109064112,24,2251,439,0,0.09856262833675564,0.2146690518783542,0.17059690493736182
0.31,0.8404568901989683,0.0525164113785558,1.0,0.9257899628252788,0.008843036109064112,24,2257,433,0,0.09979209979209978,0.21699819168173598,0.1683861459100958
0.32,0.8434045689019897,0.053452115812917596,1.0,0.9257899628252788,0.008843036109064112,24,2265,425,0,0.10147991543340382,0.22018348623853212,0.16543846720707442
0.33,0.847457627118644,0.0547945205479452,1.0,0.9257899628252788,0.008843036109064112,24,2276,414,0,0.10389610389610389,0.2247191011235955,0.16138540899042003
0.34,0.8489314664701547,0.055299539170506916,1.0,0.9257899628252788,0.008843036109064112,24,2280,410,0,0.10480349344978167,0.22641509433962267,0.15991156963890935
0.35000000000000003,0.8529845246868092,0.05673758865248227,1.0,0.9257899628252788,0.008843036109064112,24,2291,399,0,0.10738255033557045,0.23121387283236994,0.15585851142225499
0.36000000000000004,0.8551952837140752,0.05542168674698795,0.9583333333333334,0.9257899628252788,0.008843036109064112,23,2298,392,1,0.10478359908883826,0.22504892367906068,0.1529108327192336
0.37,0.8566691230655858,0.05596107055961071,0.9583333333333334,0.9257899628252788,0.008843036109064112,23,2302,388,1,0.10574712643678162,0.22682445759368836,0.15143699336772293
0.38,0.8581429624170965,0.056511056511056514,0.9583333333333334,0.9257899628252788,0.008843036109064112,23,2306,384,1,0.10672853828306264,0.22862823061630222,0.14996315401621224
0.39,0.8592483419307295,0.05693069306930693,0.9583333333333334,0.9257899628252788,0.008843036109064112,23,2309,381,1,0.1074766355140187,0.23,0.14885777450257923
0.4,0.8614591009579956,0.05778894472361809,0.9583333333333334,0.9257899628252788,0.008843036109064112,23,2315,375,1,0.10900473933649289,0.23279352226720648,0.1466470154753132
0.41000000000000003,0.863301400147384,0.058524173027989825,0.9583333333333334,0.9257899628252788,0.008843036109064112,23,2320,370,1,0.11031175059952038,0.23517382413087937,0.14480471628592484
0.42000000000000004,0.86551215917465,0.059431524547803614,0.9583333333333334,0.9257899628252788,0.008843036109064112,23,2326,364,1,0.11192214111922143,0.23809523809523808,0.1425939572586588
0.43,0.868828297715549,0.06084656084656084,0.9583333333333334,0.9257899628252788,0.008843036109064112,23,2335,355,1,0.11442786069651742,0.24261603375527424,0.13927781871775977
0.44,0.871039056742815,0.06182795698924731,0.9583333333333334,0.9257899628252788,0.008843036109064112,23,2341,349,1,0.11616161616161615,0.24572649572649577,0.13706705969049374
0.45,0.872144436256448,0.06233062330623306,0.9583333333333334,0.9257899628252788,0.008843036109064112,23,2344,346,1,0.11704834605597966,0.24731182795698928,0.13596168017686072
0.46,0.8728813559322034,0.06267029972752043,0.9583333333333334,0.9257899628252788,0.008843036109064112,23,2346,344,1,0.1176470588235294,0.2483801295896328,0.13522476050110538
0.47000000000000003,0.8739867354458364,0.06077348066298342,0.9166666666666666,0.9257899628252788,0.008843036109064112,22,2350,340,2,0.11398963730569948,0.24017467248908297,0.13338246131171702
0.48000000000000004,0.8750921149594694,0.06128133704735376,0.9166666666666666,0.9257899628252788,0.008843036109064112,22,2353,337,2,0.11488250652741515,0.24175824175824173,0.132277081798084
0.49,0.8773028739867355,0.06232294617563739,0.9166666666666666,0.9257899628252788,0.008843036109064112,22,2359,331,2,0.11671087533156499,0.24498886414253898,0.13006632277081798
0.5,0.8784082535003684,0.057803468208092484,0.8333333333333334,0.9257899628252788,0.008843036109064112,20,2364,326,4,0.10810810810810811,0.2262443438914027,0.12748710390567428
0.51,0.8798820928518791,0.05847953216374269,0.8333333333333334,0.9257899628252788,0.008843036109064112,20,2368,322,4,0.1092896174863388,0.22831050228310498,0.1260132645541636
0.52,0.8809874723655121,0.058997050147492625,0.8333333333333334,0.9257899628252788,0.008843036109064112,20,2371,319,4,0.11019283746556473,0.2298850574712644,0.12490788504053059
0.53,0.8828297715549005,0.059880239520958084,0.8333333333333334,0.9257899628252788,0.008843036109064112,20,2376,314,4,0.11173184357541899,0.23255813953488375,0.12306558585114223
0.54,0.8831982313927782,0.06006006006006006,0.8333333333333334,0.9257899628252788,0.008843036109064112,20,2377,313,4,0.11204481792717087,0.23310023310023312,0.12269712601326456
0.55,0.8835666912306559,0.05214723926380368,0.7083333333333334,0.9257899628252788,0.008843036109064112,17,2381,309,7,0.09714285714285713,0.2014218009478673,0.12011790714812086
0.56,0.8839351510685335,0.04953560371517028,0.6666666666666666,0.9257899628252788,0.008843036109064112,16,2383,307,8,0.09221902017291066,0.19093078758949883,0.11901252763448784
0.5700000000000001,0.8854089904200442,0.050156739811912224,0.6666666666666666,0.9257899628252788,0.008843036109064112,16,2387,303,8,0.0932944606413994,0.19277108433734938,0.11753868828297716
0.5800000000000001,0.8883566691230655,0.05144694533762058,0.6666666666666666,0.9257899628252788,0.008843036109064112,16,2395,295,8,0.0955223880597015,0.19656019656019652,0.11459100957995579
0.59,0.8905674281503316,0.05245901639344262,0.6666666666666666,0.9257899628252788,0.008843036109064112,16,2401,289,8,0.0972644376899696,0.19950124688279303,0.11238025055268976
0.6,0.8920412675018423,0.05016722408026756,0.625,0.9257899628252788,0.008843036109064112,15,2406,284,9,0.09287925696594428,0.189873417721519,0.11016949152542373
0.61,0.8931466470154753,0.05067567567567568,0.625,0.9257899628252788,0.008843036109064112,15,2409,281,9,0.09375000000000001,0.19132653061224492,0.10906411201179071
0.62,0.894620486366986,0.05136986301369863,0.625,0.9257899628252788,0.008843036109064112,15,2413,277,9,0.09493670886075949,0.19329896907216496,0.10759027266028003
0.63,0.8953574060427414,0.05172413793103448,0.625,0.9257899628252788,0.008843036109064112,15,2415,275,9,0.09554140127388536,0.19430051813471505,0.10685335298452468
0.64,0.895725865880619,0.05190311418685121,0.625,0.9257899628252788,0.008843036109064112,15,2416,274,9,0.09584664536741214,0.1948051948051948,0.10648489314664701
0.65,0.8975681650700074,0.04964539007092199,0.5833333333333334,0.9257899628252788,0.008843036109064112,14,2422,268,10,0.09150326797385622,0.1851851851851852,0.10390567428150331
0.66,0.8994104642593957,0.05054151624548736,0.5833333333333334,0.9257899628252788,0.008843036109064112,14,2427,263,10,0.0930232558139535,0.1876675603217158,0.10206337509211497
0.67,0.9005158437730287,0.051094890510948905,0.5833333333333334,0.9257899628252788,0.008843036109064112,14,2430,260,10,0.09395973154362415,0.1891891891891892,0.10095799557848195
0.68,0.9023581429624171,0.05204460966542751,0.5833333333333334,0.9257899628252788,0.008843036109064112,14,2435,255,10,0.0955631399317406,0.19178082191780824,0.0991156963890936
0.6900000000000001,0.9053058216654385,0.05363984674329502,0.5833333333333334,0.9257899628252788,0.008843036109064112,14,2443,247,10,0.09824561403508773,0.196078431372549,0.09616801768607222
0.7000000000000001,0.9071481208548269,0.0546875,0.5833333333333334,0.9257899628252788,0.008843036109064112,14,2448,242,10,0.1,0.19886363636363635,0.09432571849668386
0.7100000000000001,0.9078850405305822,0.05511811023622047,0.5833333333333334,0.9257899628252788,0.008843036109064112,14,2450,240,10,0.10071942446043165,0.20000000000000004,0.09358879882092852
0.72,0.9093588798820929,0.05241935483870968,0.5416666666666666,0.9257899628252788,0.008843036109064112,13,2455,235,11,0.09558823529411765,0.188953488372093,0.09137803979366249
0.73,0.9119380987472365,0.05394190871369295,0.5416666666666666,0.9257899628252788,0.008843036109064112,13,2462,228,11,0.09811320754716982,0.19287833827893178,0.08879882092851879
0.74,0.9159911569638909,0.05263157894736842,0.5,0.9257899628252788,0.008843036109064112,12,2474,216,12,0.09523809523809525,0.18518518518518517,0.08400884303610906
0.75,0.9189388356669123,0.05045871559633028,0.4583333333333333,0.9257899628252788,0.008843036109064112,11,2483,207,13,0.09090909090909091,0.17515923566878983,0.08032424465733234
0.76,0.9211495946941783,0.05188679245283019,0.4583333333333333,0.9257899628252788,0.008843036109064112,11,2489,201,13,0.09322033898305086,0.17857142857142858,0.07811348563006633
0.77,0.9222549742078113,0.05263157894736842,0.4583333333333333,0.9257899628252788,0.008843036109064112,11,2492,198,13,0.09442060085836909,0.18032786885245902,0.07700810611643331
0.78,0.9240972733971997,0.04950495049504951,0.4166666666666667,0.9257899628252788,0.008843036109064112,10,2498,192,14,0.08849557522123895,0.16778523489932884,0.07442888725128961
0.79,0.9263080324244657,0.05102040816326531,0.4166666666666667,0.9257899628252788,0.008843036109064112,10,2504,186,14,0.09090909090909091,0.17123287671232876,0.07221812822402358
0.8,0.9270449521002211,0.05154639175257732,0.4166666666666667,0.9257899628252788,0.008843036109064112,10,2506,184,14,0.09174311926605505,0.17241379310344826,0.07148120854826824
0.81,0.9277818717759764,0.052083333333333336,0.4166666666666667,0.9257899628252788,0.008843036109064112,10,2508,182,14,0.0925925925925926,0.17361111111111113,0.0707442888725129
0.8200000000000001,0.9296241709653648,0.053475935828877004,0.4166666666666667,0.9257899628252788,0.008843036109064112,10,2513,177,14,0.0947867298578199,0.17667844522968199,0.06890198968312454
0.8300000000000001,0.9310980103168754,0.049723756906077346,0.375,0.9257899628252788,0.008843036109064112,9,2518,172,15,0.0878048780487805,0.1624548736462094,0.06669123065585851
0.8400000000000001,0.9322033898305084,0.05056179775280899,0.375,0.9257899628252788,0.008843036109064112,9,2521,169,15,0.08910891089108909,0.16423357664233573,0.0655858511422255
0.85,0.9362564480471629,0.05389221556886228,0.375,0.9257899628252788,0.008843036109064112,9,2532,158,15,0.09424083769633508,0.17110266159695817,0.061532792925571116
0.86,0.940677966101695,0.05806451612903226,0.375,0.9257899628252788,0.008843036109064112,9,2544,146,15,0.1005586592178771,0.17928286852589642,0.05711127487103906
0.87,0.9428887251289609,0.06040268456375839,0.375,0.9257899628252788,0.008843036109064112,9,2550,140,15,0.10404624277456648,0.1836734693877551,0.05490051584377303
0.88,0.9458364038319823,0.05755395683453238,0.3333333333333333,0.9257899628252788,0.008843036109064112,8,2559,131,16,0.09815950920245398,0.17021276595744678,0.05121591746499631
0.89,0.9491525423728814,0.0546875,0.2916666666666667,0.9257899628252788,0.008843036109064112,7,2569,121,17,0.09210526315789475,0.15625,0.04716285924834193
0.9,0.9509948415622698,0.056910569105691054,0.2916666666666667,0.9257899628252788,0.008843036109064112,7,2574,116,17,0.09523809523809525,0.15981735159817353,0.045320560058953574
0.91,0.952837140751658,0.059322033898305086,0.2916666666666667,0.9257899628252788,0.008843036109064112,7,2579,111,17,0.09859154929577464,0.16355140186915887,0.043478260869565216
0.92,0.9572586588061901,0.057692307692307696,0.25,0.9257899628252788,0.008843036109064112,6,2592,98,18,0.09375,0.15000000000000002,0.03831982313927782
0.93,0.9620486366985999,0.06593406593406594,0.25,0.9257899628252788,0.008843036109064112,6,2605,85,18,0.10434782608695653,0.16042780748663102,0.03352984524686809
0.9400000000000001,0.9672070744288872,0.07792207792207792,0.25,0.9257899628252788,0.008843036109064112,6,2619,71,18,0.1188118811881188,0.17341040462427748,0.028371407516580693
0.9500000000000001,0.9690493736182756,0.07142857142857142,0.20833333333333334,0.9257899628252788,0.008843036109064112,5,2625,65,19,0.10638297872340424,0.1506024096385542,0.025792188651436992
0.9600000000000001,0.9749447310243183,0.09259259259259259,0.20833333333333334,0.9257899628252788,0.008843036109064112,5,2641,49,19,0.1282051282051282,0.16666666666666666,0.01989683124539425
0.97,0.9797347089167281,0.10256410256410256,0.16666666666666666,0.9257899628252788,0.008843036109064112,4,2655,35,20,0.12698412698412698,0.14814814814814814,0.014369933677229182
0.98,0.9837877671333825,0.11538461538461539,0.125,0.9257899628252788,0.008843036109064112,3,2667,23,21,0.12000000000000001,0.12295081967213116,0.009579955784819455
0.99,0.9856300663227708,0.058823529411764705,0.041666666666666664,0.9257899628252788,0.008843036109064112,1,2674,16,23,0.048780487804878044,0.04424778761061947,0.006263817243920413
